Book Title, Book Rating
Give and Take: A Roadmap to Understanding a Psychiatrist,it was amazing
5.00 avg rating — 5 ratings
Grieving Futures: How I Survived the Deaths of My Parents, My Home, and My Future,4.50 avg rating — 2 ratings
Mechanics of Innovation: The Essential Handbook for Inventors, Engineers, Scientists, & Physicians,4.64 avg rating — 11 ratings
Knowing the Struggle Is Over!,really liked it
4.00 avg rating — 9 ratings
How to Take Charge of Your Life,3.67 avg rating — 30 ratings
From Rats to Riches,4.10 avg rating — 63 ratings
Rewire Your Brain For Love: Creating Vibrant Relationships Using the Science of Mindfulness,4.15 avg rating — 150 ratings
The Space of Love (The Ringing Cedars, #3),4.35 avg rating — 416 ratings
God's Favor - Breath Of Heaven,4.53 avg rating — 80 ratings
Epictetus Handbook and the Tablet of Cebes: Guides to Stoic Living,4.34 avg rating — 41 ratings
The Great Life Redesign - change how you work, live how you dream and make it happen today,3.73 avg rating — 15 ratings
Visionen, Ziele, Spitzenleistungen!Wie Sie Ihre Persönlichkeit Stärken Ein Buch Nicht Nur Für Unternehmer,it was amazing
5.00 avg rating — 1 rating
Talk To Strangers,4.08 avg rating — 24 ratings
If You Want to Write: A Book about Art, Independence and Spirit,4.11 avg rating — 6,976 ratings
Character Concert,it was amazing
5.00 avg rating — 5 ratings
